FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
0.557377049180328,2,18.4938271604938,15.8877551020408,17.5087719298246,20.2672413793103,1.07246571169248,1.1722546556488,9.6,2.58620689655172,0,0,0,0,0,0,0,-0.128751384669172,-0.256090625630574,-0.116115042230608,0.37195940424458
1.6547619047619,1,17.9879518072289,17.1702127659574,19.1228070175439,18.4354838709677,1.23897882811001,1.11963416300479,4.96428571428571,2.71428571428571,0,0,0,0,0,1,0,-0.242385150057306,-0.0750652157105301,0.148398045603309,0.0630729250966511
1,0,18.0970873786408,17.3814432989691,22.8019801980198,20,1.08022942002949,1.23905769643882,6.39473684210526,5.57142857142857,0,0,0,0,0,0,0,-0.21049069005505,-0.203277129626777,-0.156605713070495,0.0242125555303798
3.36,1,18.3398058252427,14.0538461538462,26.2660550458716,18.63,1.00879158134793,1.19455830265391,4.42307692307692,5.66666666666667,0,0,0,0,0,0,0,-0.332434851916151,-0.225886263113014,-0.258075601519481,-0.0268702404851653
1.88235294117647,1,23.9459459459459,15.528,22.875,19.0096153846154,1.14070900269939,1.19770087734621,5.7,7.95454545454545,0,0,0,1,0,0,0,-0.297851850343637,-0.0414273118989313,0.06466324540563,-0.0254426696316051
0.531645569620253,0,33.8235294117647,19.8415841584158,19.4181818181818,19.6037735849057,1.94603826025231,1.23782819311233,7.76829268292683,6.19298245614035,0,0,0,0,0,0,0,1.00813499825822,-0.178053119710296,0.418015226389832,0.0179303130074334
1.04545454545455,1,25.972972972973,23.2765957446809,25.1428571428571,21.6949152542373,1.24163207064277,1.22294875489296,6.45098039215686,5.74257425742574,0,0,0,0,0,0,0,-0.244114613275574,0.0394433934848192,0.0341383206964866,0.0212600635697107
0.551020408163265,0,27.2948717948718,23.3535353535354,31,24.9009900990099,1.0591226975449,1.22117284276372,4.375,5.64788732394366,0,0,0,0,0,0,0,-0.213073272515638,-0.220101385939632,-0.160097417165978,-0.0225408343500034
2.45238095238095,0,26.0919540229885,25.4519230769231,29.0240963855422,28.4814814814815,1.25959003528567,1.10158357469095,7.84375,3.57575757575758,0,0,0,0,0,0,0,-0.184250875418584,-0.198149915489118,0.215552082711964,0.0890052646768892
1.68571428571429,2,27.3469387755102,25.6363636363636,27.1551724137931,29.1346153846154,1.24559156112364,1.24352656543819,7.58536585365854,6.42857142857143,0,0,0,0,0,0,0,-0.0648874189452952,-0.19006273768532,0.0394400438514826,0.0252481611942939
2.40350877192982,1,27.46,27.3396226415094,28.3157894736842,32.5842696629214,1.28147857652131,1.1276268596432,7.58536585365854,5.65789473684211,0,0,0,0,0,0,0,-0.161505823734641,-0.220503788444643,0.176525032752681,0.022865877644694
1.78378378378378,0,26.8411214953271,29.9772727272727,28.5714285714286,39,1.2839876639953,1.16704073684071,7.58536585365854,7.25423728813559,0,0,0,0,0,0,0,-0.152116437436605,-0.236330392820705,0.132480073321784,0.0112458100679702
1,1,27.0188679245283,32.9166666666667,30.4380952380952,43.4545454545455,1.29460522082856,1.00502412112881,7.74137931034483,4.42424242424242,0,0,0,0,0,0,0,-0.143357022553111,-0.358675022487473,0.443694392425934,0.0739842494627129
5,3,28.7849462365591,29.9493670886076,33.8921568627451,38.1785714285714,1.10112735944223,1.29701800410913,6.01234567901235,9.23529411764706,0,0,0,0,0,0,0,-0.229641411933328,-0.166370787548114,-0.170328670057563,-0.0266866883457272
4,1,30.3728813559322,29.0561797752809,36.2268041237113,47.6060606060606,1.24298899465768,1.01320906475734,6.45794392523364,7.6551724137931,0,0,0,0,0,0,0,-0.165381214681966,-0.680999385118529,0.363524774672606,-0.002390716985884
0.619047619047619,0,34.5,34.6666666666667,37.1827956989247,40.5,1.17915532469337,1.31729472645262,5.46078431372549,8.18421052631579,0,0,0,0,0,0,0,-0.0708096694665375,-0.230533435968219,-0.0806711205065886,-0.0222227969353634
0.980769230769231,2,32.8,50.8333333333333,39.3478260869565,32.2906976744186,1.29843108561337,1.89338940904094,6.19230769230769,7.02777777777778,0,0,0,0,0,0,0,-0.11750206985285,0.73241082701511,-0.387738826656936,-0.00780753472576569
2.38666666666667,1,33.4047619047619,36.9,41.4411764705882,35.7674418604651,1.07936582268911,1.33821357788749,8.33333333333333,4.61290322580645,0,0,0,0,0,0,0,-0.283152426847502,-0.0836465808430954,-0.200887366402482,0.0449195788275925
1.04761904761905,1,37.2222222222222,33.9701492537313,40.59375,38.2857142857143,1.25497166540985,1.2034282429925,5.4,4.55813953488372,0,0,0,0,0,0,0,-0.0590218920853448,-0.242579257214709,0.0631837765346314,0.00616272882390682
1.6875,2,32.5,32.5074626865672,35.2291666666667,62.5,1.26623069403715,1.00162350773298,5.44,4.58333333333333,0,0,0,0,0,0,0,-0.181001179226986,-0.798547950703071,0.253876629482202,0.0105169642662078
0.5,0,62,35.4736842105263,31.5625,44.6666666666667,2.17053815749468,1.19166633129135,7.96551724137931,5.2093023255814,0,0,0,0,0,0,0,1.177281402705,-0.269636985617042,0.655599348908172,0.0245370416204188
0.608695652173913,3,34,40.09375,38.0952380952381,37.9375,1.19024537790522,1.30116361718003,3.94117647058824,6.34246575342466,0,0,0,0,0,0,0,-0.202864594953644,0.163920611223805,-0.100669586507422,-0.0190438595942461
1.02020202020202,1,42,38.5,58,42.75,1.19298245614035,0.986842105263158,11.25,3.25,1,0,0,0,0,0,0,-0.22605936296045,-0.168291833649842,-0.0887016167765372,0.0718076735785079
0.97979797979798,1,0,0,0,0,0.126923076923077,0,1.33333333333333,1.57142857142857,0,0,0,0,0,0,0,-0.134415733586322,-0.139083152497613,-0.00145877055612353,0.0625
