index,value
2873,7
2874,5
2875,5
2876,5
2877,3
2878,10
2879,4
2880,10
2881,8
2882,7
2883,4
2884,3
2885,2
2886,5
2887,4
2888,11
2889,11
2890,9
2891,12
2892,9
2893,8
2894,4
2895,9
2896,9
2897,8
2898,16
2899,7
2900,10
2901,8
2902,5
2903,6
2904,4
2905,14
2906,7
2907,9
2908,11
2909,8
2910,10
2911,6
2912,6
2913,4
2914,8
2915,11
2916,10
2917,9
2918,7
2919,12
2920,7
2921,9
2922,9
2923,9
2924,8
2925,13
2926,10
2927,9
2928,10
2929,5
2930,14
2931,5
2932,4
2933,7
2934,11
2935,6
2936,12
2937,9
2938,9
2939,8
2940,11
2941,6
2942,3
2943,8
2944,7
2945,13
2946,5
2947,13
2948,9
2949,12
2950,2
2951,10
2952,5
2953,10
2954,11
2955,8
2956,8
2957,9
2958,9
2959,10
2960,13
2961,5
2962,9
2963,9
2964,11
2965,8
2966,7
2967,6
2968,8
2969,12
2970,7
2971,11
2972,13
2973,8
2974,6
2975,4
2976,9
2977,6
2978,6
2979,4
2980,8
2981,9
2982,7
2983,2
2984,3
2985,13
2986,10
2987,6
2988,11
2989,6
2990,8
2991,7
2992,7
2993,5
2994,2
2995,8
